,location,lat,lon,id,species,datePlanted,height,DBH,canopy,canopy area [m^2],,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46919E+16,1.01243E+17,548,Persea americana,Feb-22,0.50,2,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46915E+16,1.01243E+17,516,Persea americana,Feb-22,0.60,2,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.4692E+16,1.01243E+17,557,Persea americana,Feb-22,0.60,2,0.17,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.4692E+16,1.01243E+17,561,Persea americana,Feb-22,0.60,2,0.15,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46921E+16,1.01243E+17,563,Persea americana,Feb-22,0.60,1,0.25,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46915E+16,1.01244E+17,707,Persea americana,Nov-21,0.60,1,0.10,,,,,,,,,,,,
,"51 Moore Pak Chong sub-district, Pak Chong","1,468,570,003","101,372,482",1173,Persea americana,Dec-21,0.65,2,0.15,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46914E+16,1.01244E+17,502,Persea americana,Feb-22,0.70,2,0.10,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46916E+16,1.01243E+17,531,Persea americana,Feb-22,0.70,4,0.25,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.4692E+15,1.01243E+17,558,Persea americana,Feb-22,0.70,3,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46921E+16,1.01243E+17,565,Persea americana,Feb-22,0.70,2,0.20,,,,,,,,,,,,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46921E+16,1.01244E+17,568,Persea americana,Feb-22,0.70,2,0.15,,,,,,,,,,,,
