,location,lat,lon,id,species,datePlanted,height,DBH,canopy,canopy area [m^2]
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46917E+16,1.01243E+17,432,Mangifera indica,Aug-21,0.50,0.02,0.02,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46914E+16,1.01244E+17,381,Mangifera indica,Aug-21,0.60,0.03,0.18,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46918E+16,1.01243E+17,448,Mangifera indica,Aug-21,0.60,0.02,0.10,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46912E+16,1.01243E+16,356,Mangifera indica,Aug-21,0.70,0.03,0.17,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46914E+16,1.01244E+17,380,Mangifera indica,Aug-21,0.70,0.03,0.20,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46918E+15,1.01244E+17,441,Mangifera indica,Aug-21,0.70,0.01,0.15,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46919E+16,1.01244E+17,442,Mangifera indica,Aug-21,0.70,0.01,0.15,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46916E+16,1.01243E+17,404,Mangifera indica,Aug-21,0.71,0.02,0.18,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46914E+16,1.01243E+17,392,Mangifera indica,Aug-21,0.77,0.03,0.24,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46918E+16,1.01244E+17,443,Mangifera indica,Aug-21,0.77,0.04,0.15,
,176 Moo 9 Makluagao sub-district Soongnern,1.47429E+16,1.01735E+17,71,Mangifera indica,Oct-21,0.80,0.02,0.15,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46918E+16,1.01243E+17,438,Mangifera indica,Aug-21,0.80,0.02,0.13,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46918E+16,1.01243E+17,447,Mangifera indica,Aug-21,0.80,0.02,0.13,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46913E+16,1.01243E+17,370,Mangifera indica,Aug-21,0.90,0.03,0.17,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46913E+16,1.01243E+16,374,Mangifera indica,Aug-21,0.90,0.03,0.25,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46914E+16,1.01243E+16,394,Mangifera indica,Aug-21,0.90,0.03,0.16,
,"89 Moo 15 Tumtaopattana village Klangdong sub-district, Pak Chong",1.46915E+16,1.01243E+17,401,Mangifera indica,Aug-21,0.90,0.03,0.20,
